"id","term","category","weight"
"220","comp","LABEL","-0.00000599429842628"
"221","brownskin","LABEL","0.00000201064181494"
"222","guidance","LABEL","0.00000351851253518"
"223","courtesy","LABEL","-0.00000599830058153"
"224","whattt","LABEL","-0.00000162136871305"
"225","requires","LABEL","0.00000203117004049"
"226","oy","LABEL","-0.0000128138467356"
"227","executed","LABEL","0.000000619880542251"
"228","bacon","LABEL","0.0000196772357514"
"229","yoooo","LABEL","0.000012396671369"
"230","tou","LABEL","-0.00000709001274053"
"231","slaps","LABEL","-0.000000662411126184"
"232","doesn't","LABEL","-0.0000527156140846"
"233","stupidly","LABEL","-0.000000424575631742"
"234","guest","LABEL","-0.0000215191691324"
"235","pc","LABEL","-0.0000619897827167"
"236","1s","LABEL","-0.000000866001795212"
"237","baggage","LABEL","0.00000311396601979"
"238","yeezus","LABEL","-0.00000354661736368"
"239","#shocked","LABEL","0.000000333342370481"
"240","fil","LABEL","-0.0000182624328536"
"241","guitarist","LABEL","0.00000143504909465"
"242","bad","LABEL","0.000279683452084"
"243","mullet","LABEL","-0.0000010337201921"
"244","mission","LABEL","0.00000239400091458"
"245","frfr","LABEL","0.0000199448566892"
"246","towed","LABEL","0.000000583361167362"
"247","civil","LABEL","-0.00000531505322358"
"248","haven't","LABEL","0.0000287204169997"
"249","jacobs","LABEL","0.00000195239391345"
"250","wednesday's","LABEL","0.00000117366431275"
"251","hopeless","LABEL","0.00000286980740665"
"252","angelic","LABEL","-0.00000222090848192"
"253","ifs","LABEL","0.00000162584340821"
"254","pablo","LABEL","-0.00000274189938857"
"255","gave","LABEL","0.0000124234129901"
"256",">.<","LABEL","0.0000155451505948"
"257","sweatshirt","LABEL","-0.0000082388498947"
"258","cancelled","LABEL","-0.0000323991127778"
"259","mango","LABEL","-0.00000811755258199"
"260","friendly","LABEL","0.0000126482609578"
"261","hoodrats","LABEL","0.000000786696743709"
"262","#19","LABEL","0.000000793791917826"
"263","sabrina","LABEL","-0.000000937966141989"
"264","ky","LABEL","-0.00000779079558652"
"265","uninterested","LABEL","0.00000187696249026"
"266","2017","LABEL","-0.00000577059135157"
"267","leaks","LABEL","-0.00000146594433762"
"268","roommate's","LABEL","0.00000180871019833"
"269","folder","LABEL","-0.00000178292761485"
"270","winding","LABEL","0.000000521259905593"
"271","backed","LABEL","0.0000000546466840809"
"272","homosexuality","LABEL","-0.000000650975895095"
"273","stacy's","LABEL","-0.00000191338334666"
"274","pours","LABEL","-0.00000397590912491"
"275","lest","LABEL","0.000000825837457417"
"276","demand","LABEL","-0.00000498514349586"
"277","#cousin","LABEL","-0.000000586957494659"
"278","uneventful","LABEL","0.00000150117433285"
"279","weapons","LABEL","-0.00000383775919975"
"280","shakin","LABEL","-0.0000000446458498968"
"281","dayz","LABEL","-0.000000363763149651"
"282","evocative","LABEL","-0.000000343345598734"
"283","jai","LABEL","0.00000112111080387"
"284","remy","LABEL","0.00000274609696212"
"285","realer","LABEL","0.00000509924395058"
"286","mavs","LABEL","-0.000000376929037795"
"287","spoiler","LABEL","-0.00000295323358818"
"288","responding","LABEL","0.00000627645689938"
"289","bonkers","LABEL","-0.0000000697134391676"
"290","climbing","LABEL","-0.00000154280123909"
"291","#hockey","LABEL","-0.00000115446568837"
"292","intensity","LABEL","-0.000000336824742448"
"293","pacers","LABEL","-0.000000450607380287"
"294","cricket","LABEL","-0.00000254133127926"
"295","number","LABEL","0.0000623477061791"
"296","confirmed","LABEL","-0.00000968744779638"
"297","willie","LABEL","0.000000842087298913"
"298","leprechaun","LABEL","-0.00000223566540175"
"299","documents","LABEL","-0.000000490648173282"
"300","tattoo","LABEL","0.000011187952058"
"301","hearted","LABEL","0.0000172577952597"
"302","cursing","LABEL","0.00000478256562175"
"303","hoes","LABEL","0.000319331869959"
"304","insect","LABEL","-0.000000631894813792"
"305","numbers","LABEL","0.00000904941302179"
"306","occasionally","LABEL","0.00000155920499863"
"307","orrrr","LABEL","0.000000244456474357"
"308","nirvana","LABEL","0.0000153296480797"
"309","patrol","LABEL","-0.00000231552119271"
"310","matchbox","LABEL","0.0000018489767135"
"311","logged","LABEL","0.000000192953517421"
"312","#whathappened","LABEL","-0.000000181883220943"
"313","revision","LABEL","-0.00000613614522122"
"314","pts","LABEL","-0.00000545640588151"
"315","hallway","LABEL","0.000000346778372747"
"316","villanova","LABEL","-0.0000070296443091"
"317","ralph","LABEL","-0.00000608408655614"
"318","humanly","LABEL","0.000000957166559406"
"319","believers","LABEL","-0.000000423290934373"
"320","ofc","LABEL","0.00000191266681286"
"321","idiot","LABEL","-0.000027854446108"
"322","#teamiphone","LABEL","0.000000728945592739"
"323","#lifeisgood","LABEL","0.0000000826136668519"
"324","process","LABEL","0.00000476209259238"
"325","lewis","LABEL","-0.0000157293107568"
"326","gotcha","LABEL","-0.000000280673411546"
"327","informing","LABEL","-0.00000215610223577"
"328","do:","LABEL","0.000000743881398277"
"329","accordingly","LABEL","-0.000000692418200083"
"330","nothing","LABEL","0.000433796970881"
"331","selfies","LABEL","-0.0000324123673726"
"332","smmfh","LABEL","0.00000483936169079"
"333","cheerful","LABEL","-0.000000295843808903"
"334","02","LABEL","-0.00000239509342416"
"335","louder","LABEL","0.000000760491571272"
"336","theee","LABEL","0.00000275605451706"
"337","opening","LABEL","-0.0000437037635236"
"338","norm","LABEL","-0.00000342237273609"
"339","grapefruit","LABEL","0.000000295750390107"
"340","relative","LABEL","0.000000389474214018"
"341","faggot","LABEL","0.00000429988022701"
"342","pout","LABEL","0.0000013016969996"
"343","act","LABEL","0.00014330765954"
"344","groin","LABEL","0.000000204572987035"
"345","#kthanks","LABEL","0.000000180788406399"
"346","eyeing","LABEL","-0.000000586828666294"
"347","advil","LABEL","-0.00000271074496039"
"348","constantly","LABEL","0.0000343069802114"
"349","lap","LABEL","-0.000000207466501693"
"350","whe","LABEL","-0.000000158318760299"
"351","recognition","LABEL","-0.00000314195272298"
"352","dan","LABEL","-0.0000237319956349"
"353","english","LABEL","-0.0000213494195302"
"354","cracked","LABEL","-0.000000327342390652"
"355","dow","LABEL","0.000000337529782982"
"356","frown","LABEL","0.0000052373938394"
"357","growth","LABEL","-0.00000312905375276"
"358","puss","LABEL","0.0000033700832115"
"359","question","LABEL","-0.0000360504843734"
"360","bridges","LABEL","0.00000304094300401"
"361","marketing","LABEL","-0.0000107519867602"
"362","twenties","LABEL","-0.0000014618835151"
"363","picnic","LABEL","-0.00000806188124451"
"364","honeymoon","LABEL","-0.00000251214254638"
"365","expectations","LABEL","-0.00000879158498455"
"366","athlete","LABEL","-0.0000123763500779"
"367","scattered","LABEL","0.00000223735888498"
"368","respected","LABEL","-0.000000683608891545"
"369","#whoami","LABEL","-0.00000122442632134"
"370","fckin","LABEL","0.0000121100160435"
"371","brother","LABEL","-0.0000936097174876"
"372","ban","LABEL","-0.00000413689812197"
"373","deans","LABEL","0.00000154931450703"
"374","vets","LABEL","-0.00000104116850403"
"375","democratic","LABEL","0.000000335607772016"
"376","jamaican","LABEL","0.000000170857433356"
"377","#peaceful","LABEL","0.00000359136438101"
"378","takin","LABEL","0.0000162029635561"
"379","beverages","LABEL","0.00000198887095881"
"380","chatting","LABEL","-0.00000450123865548"
"381","ode","LABEL","-0.000000833410910167"
"382","peanuts","LABEL","0.000000108058083991"
"383","ducked","LABEL","0.00000071710263476"
"384","appealing","LABEL","0.00000257439501084"
"385","unlikely","LABEL","-0.000000694319288315"
"386","eskimo","LABEL","0.000000666290296962"
"387","dd","LABEL","-0.000000475192061221"
"388","stripping","LABEL","0.00000148377663173"
"389","classless","LABEL","-0.00000193012074529"
"390","herr","LABEL","0.000000687235806443"
"391","ghana","LABEL","-0.00000289370867005"
"392","norris","LABEL","-0.00000378800146784"
"393","path","LABEL","0.0000164355795885"
"394","#tan","LABEL","0.000000391666174163"
"395","lands","LABEL","0.00000101566421876"
"396","tweak","LABEL","0.00000241279019032"
"397","fakes","LABEL","-0.00000233718841423"
"398","thur","LABEL","-0.000000548822778286"
"399","concluded","LABEL","0.00000140936079834"
"400","ruins","LABEL","-0.00000753060711596"
"401","#ahhh","LABEL","-0.00000119287490198"
"402","needy","LABEL","0.00000878974932602"
"403","chick-fil-a","LABEL","-0.0000114297481786"
"404","scientist","LABEL","-0.00000116989371627"
"405","baggy","LABEL","0.00000566171835634"
"406","foolery","LABEL","-0.00000434638198698"
"407","fellas","LABEL","0.00000210697495407"
"408","errybody","LABEL","-0.00000357255693046"
"409","pfft","LABEL","0.000000965450719688"
"410","currency","LABEL","0.000000769825253682"
"411","oth","LABEL","-0.00000890798168387"
"412","candle","LABEL","0.00000644106758415"
"413","skateboard","LABEL","-0.00000146433081426"
"414","gyro","LABEL","-0.00000133412250296"
"415","pyramids","LABEL","-0.000000303795202621"
"416","blt","LABEL","0.000000834612121529"
"417","white","LABEL","-0.0000653909060434"
"418","wah","LABEL","0.00000144441636378"
"419","doeeee","LABEL","0.000000162597250321"
"420","buffet","LABEL","0.000000187801317314"
"421","twix","LABEL","-0.00000147636927952"
"422","screamed","LABEL","-0.0000140276250397"
"423","boy's","LABEL","-0.00000678178466827"
"424","wannna","LABEL","0.00000344478252591"
"425","betray","LABEL","0.00000140976729512"
"426","faux","LABEL","-0.00000266436495137"
"427","layers","LABEL","-0.0000035224630136"
"428","#bffs","LABEL","0.000000298153298143"
"429","hash","LABEL","0.0000118624877744"
"430","post","LABEL","-0.0000711825065796"
"431","thnk","LABEL","-0.00000323592885186"
"432","#thinkaboutit","LABEL","0.00000102395592976"
